KEGG_Pathway	CTU_ABQ_Rm_LE	CTU_ABR_Rm_LE	CTU_ABX_Rm_LE	CTU_ABZ_Rp_LE	CTU_ACA_Rp_LE	CTU_ACB_Rp_LE	CTU_ACC_Rp_LE	CTU_ACE_Rp_LE	CTU_ACG_Rp_LE	AL_Rm_LE	AM_Rm_LE	AN_Rm_LE	AS_Rp_LE	AT_Rp_LE	AU_Rp_LE	AV_Rp_LE	AW_Rp_LE	BK_Rm_LE	BL_Rm_LE	BM_Rm_LE	BN_Rm_LE	BO_Rm_LE	BP_Rm_LE	BQ_Rm_LE	BRZ_GK_Rm_Control	BRZ_GL_Rp_Control	BRZ_GN_Rm_Control	BRZ_GP_Rp_Control	BRZ_GS_Rm_Control	BRZ_GT_Rp_Control	BRZ_HA_Rm_Control	BRZ_HB_Rp_Control	BRZ_HE_Rm_Control	BRZ_HF_Rp_Control	BRZ_HI_Rm_Control	BRZ_HK_Rp_Control	BRZ_HN_Rm_Control	BRZ_HP_Rp_Control	BRZ_HS_Rm_Control	BRZ_HT_Rp_Control	BRZ_IB_Rm_Control	BRZ_IC_Rp_Control	BRZ_IF_Rm_Control	BRZ_IG_Rp_Control	BX_Rp_LE	BY_Rp_LE	BZ_Rp_LE	sum
ko00071	63744	57185	63084	63938	43885	58358	61953	48609	59176	57023	63951	56290	59278	50754	53281	65797	65829	73489	56537	51076	62229	57005	64020	64438	92854	173063	137584	152943	187519	133487	144013	154270	105127	142896	181693	224531	121344	215279	196241	239578	224486	248629	147281	118930	46636	69873	60565	4939751
ko00072	4505	3812	4515	5427	3492	5097	5259	4302	3708	3867	4423	2915	3653	3405	3323	4628	4777	4694	3864	3475	3797	4296	4569	4976	7999	8468	11938	10892	10185	6909	6895	10724	6694	5853	8579	15805	6743	16871	10147	14792	12507	27392	9329	6472	3827	5422	4906	330128
ko00100	7	5	5	11	4	10	5	9	14	1	7	2	1	4	6	6	5	13	0	3	2	6	4	6	19	31	14	23	27	30	28	25	29	37	7	25	15	16	21	137	48	54	19	11	2	2	5	761
ko00120	9381	8218	9376	7407	5832	8733	9431	6561	7481	7527	8642	8019	8281	6869	7501	9201	9335	9760	7162	6095	8360	7818	8669	8469	12541	25571	17104	18969	25930	18532	22492	21800	14849	20418	25445	29022	15874	30415	24914	33624	30453	34681	19645	15457	7106	9592	9090	677652
ko00121	9702	8447	9675	7782	6149	9236	9910	6852	7824	7854	9041	8794	8918	7493	8050	9747	10091	10178	7574	6517	8684	8223	9110	9044	13661	26433	18389	19784	26868	20307	23061	22373	15376	21184	26210	30727	16522	31434	26084	34627	31177	36726	20332	16146	7665	11126	9791	710898
ko00130	45230	40683	37435	34255	26223	36820	41441	27839	35486	38342	36118	45615	37936	33174	35247	35588	43220	46897	33051	32933	42268	34274	36351	32635	44668	128655	80858	84138	139238	90684	88174	96857	75917	101337	144018	153834	78992	139766	131202	181640	154170	124466	101602	75983	28871	52530	31937	3218598
ko00140	17514	14517	13250	19237	9555	13470	15384	11479	14696	11857	11862	15760	12751	10676	11727	21146	12183	16857	13287	9322	16260	12096	13032	14341	23874	31851	22512	22231	39115	15883	28795	24635	15443	27422	34561	39471	19235	30806	40278	41884	35502	53995	21979	16822	13304	12814	18168	962839
ko00190	284878	259023	274656	291492	184861	264665	277873	205307	249491	251326	270216	262386	254799	224940	235812	299206	293997	313201	228117	225471	268773	239002	264064	288682	394448	737673	574197	551052	800469	561057	541497	625581	429145	573478	735147	975046	457357	871931	780196	998272	933283	1030823	598571	462256	218500	343689	277616	20683522
ko00195	53494	60280	51673	57789	40099	55846	64866	46755	48448	59960	57804	53781	55899	48590	49463	65111	68880	67406	49667	53555	57781	51062	55809	62057	87363	190472	147437	145868	187539	143901	126538	182933	108273	137837	187943	233214	114003	259386	185379	268164	232192	260341	145084	123067	49848	74592	57054	4984503
ko00196	23	69	59	71	16	49	62	25	32	73	100	46	27	48	37	95	101	93	91	54	39	49	93	148	91	129	26	83	60	167	59	22	22	37	51	108	81	122	75	76	76	268	62	76	42	34	82	3349
ko00220	166283	158205	160286	180825	109097	160554	171144	131031	141476	146817	158573	144674	145199	128862	131474	172187	172996	181867	138702	134248	152871	137401	154871	165247	232893	442694	310702	327691	466687	344626	317192	393480	251058	332718	430094	560677	273752	530511	466352	595161	538189	601444	345167	279688	128925	195172	157756	12167519
ko00230	754764	698249	748995	789904	512539	711103	743301	564147	673314	707404	765610	691228	717472	626662	644968	836256	805801	879252	673744	635882	739770	667905	767587	805310	1163437	1985632	1720147	1682182	2247461	1592043	1621028	1771676	1263533	1654164	2164326	2624119	1357925	2525137	2265473	2740957	2631376	2960169	1700731	1394567	607105	901936	761851	58498142
ko00232	2	10	6	13	12	8	13	8	9	13	12	4	14	10	6	10	18	16	11	4	4	6	7	6	12	5	8	81	14	5	5	4	1	2	4	34	1	6	10	5	12	8	4	4	3	18	12	480
ko00240	619654	570258	612623	649595	422597	593629	613375	465007	552749	579513	627233	563272	586918	529950	526683	681072	661720	717789	548675	522099	603465	547086	633304	658250	986720	1626119	1414502	1366918	1841075	1284507	1349043	1402292	1047821	1363392	1773848	2142992	1114084	2020431	1847797	2176025	2163790	2362973	1387188	1063197	495055	743002	620533	47679820
ko00250	378469	357576	357639	403844	245731	355731	386064	290054	323771	330563	353103	326966	328504	288718	298725	385018	383294	410023	306501	296540	348174	312696	345642	361612	511327	1007857	719764	753364	1069574	756583	734139	854588	580369	774176	1009875	1268672	629698	1195946	1064464	1336103	1238999	1312062	800105	630111	283794	426384	346165	27479077
ko00253	552	232	292	265	267	199	225	353	246	426	370	1081	627	327	439	729	519	844	917	285	922	663	788	569	830	1402	1319	1588	2133	1020	1656	1599	773	1413	3040	850	1260	2570	3388	2960	946	3956	1112	1201	614	326	783	48876
ko00254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	17	0	0	0	0	0	6	0	0	0	1	0	3	0	1	0	0	0	0	44
ko00260	268763	245084	247758	272369	173663	246088	269671	202950	224391	231217	240246	227193	225967	200077	205384	265178	263497	283978	207675	204812	240687	213470	236545	249964	369226	688866	548422	505613	752374	508450	518285	589332	394741	525260	705014	888998	429725	817577	748060	919388	873413	893330	554686	421333	198653	294244	239515	19031132
ko00261	64821	61940	64579	70260	41753	61739	63993	46334	54602	62398	63659	61936	61318	54158	54780	72366	69396	75998	56120	54919	65012	56449	64030	63699	94099	192657	141473	141431	201096	141434	140849	154361	110723	148817	192268	243032	121570	218301	202202	252906	228466	234810	151328	120049	51315	78986	62298	5090730
ko00270	261017	243851	253293	276484	175026	248698	266750	203118	224957	241088	260804	233158	237570	210354	214574	279231	280438	297713	224504	219126	253078	223549	255474	273430	399696	712417	600931	553312	779367	563592	537288	627237	417085	548236	723841	920409	459411	873680	775633	957885	906832	984410	585024	459790	210844	307544	256713	20018462
ko00280	71041	62696	67687	67747	43937	64343	68404	51185	62791	58354	63403	59409	57420	50717	52699	61993	66042	74154	53118	52893	65177	55484	59880	60553	87935	198845	133099	133534	213345	128160	139267	152555	109916	147010	196023	243685	120043	209468	202023	260328	242355	213561	152044	112962	48049	71326	56703	5023363
ko00281	1190	872	1065	1499	710	863	896	956	847	813	847	662	684	521	486	1249	642	962	734	707	582	887	905	755	929	1655	1616	1974	2407	1051	1276	1917	1168	1055	1370	5091	857	2587	1857	2590	2568	3347	1568	867	624	1143	873	60724
ko00290	126705	125792	112104	142347	81282	123179	134996	98847	97613	109227	113813	104629	105162	92197	95572	126461	127681	132522	98324	101133	108977	100405	109353	116769	173088	316747	244936	237412	341563	247872	232762	287156	183804	235742	327454	415365	197922	380460	343326	442250	404271	439453	254877	206022	95441	141856	112751	8947620
ko00300	186074	167232	179037	197457	124826	171003	183564	141495	165387	163721	180705	164457	167577	147613	152599	191183	192924	208104	158094	149975	176197	158809	181303	189780	271866	486471	406452	393816	528251	392015	372340	425549	295682	383834	504715	626187	320240	603772	544960	664982	609514	719049	404702	317505	141965	215217	178148	13906348
ko00310	27238	22810	25843	29516	18874	26104	26528	20698	24235	22400	26023	21340	22512	20384	20327	29034	25772	28652	23698	22158	24074	22219	25725	28569	40491	58313	56336	52075	66069	43758	48336	53918	34277	45416	59470	84635	40297	81888	67607	80549	80266	102659	51541	35503	20970	29873	26664	1845644
ko00311	7579	6971	7724	7982	5103	7420	8617	7032	7367	7788	7991	7722	7528	6540	7409	8395	9598	9287	6634	6548	7938	7403	8247	8441	13645	23990	22598	21264	23882	19398	19084	21231	14244	19794	23711	28713	15286	31794	25353	28671	27903	31903	19025	14971	7429	9410	8068	654631
ko00330	114785	105103	108644	121139	75506	108576	114909	88274	95559	105224	109845	101665	102220	90446	92688	122764	120611	126273	96533	94921	108171	97677	109127	118910	170320	300346	251592	241634	328063	239854	230868	271168	178565	233366	320415	395920	197569	376423	333429	422537	393988	436098	250800	194830	92039	134731	110832	8634957
ko00331	9	1	4	5	3	10	3	0	0	4	4	18	2	3	0	5	1	2	4	4	2	31	62	7	3	0	6	0	4	0	2	0	1	0	4	0	2	0	12	0	3	0	7	0	3	5	2	238
ko00332	19706	19838	20206	20614	12602	18508	20348	16378	14823	20688	20377	18584	18509	16516	16447	22338	22442	24092	17943	18307	19713	17856	20159	20639	28516	58894	47335	43564	61281	47259	42428	53011	34535	45754	61781	77023	36232	72332	62488	80884	73452	72606	47110	38191	17026	25397	19636	1604368
ko00333	31906	29774	30729	35022	22412	29649	31755	24063	28798	30274	30328	30605	29986	27061	27199	35419	33599	37203	27685	26298	31018	28167	32327	34074	50600	80731	77656	68774	89212	64717	71591	67837	47590	68724	84969	108458	55422	99450	91382	108627	103103	117308	68943	50545	25786	36953	32656	2396385
ko00340	95430	81943	87702	95554	59440	89266	89488	66481	75665	78590	88285	77074	78059	70503	71926	98289	92940	100015	76479	72814	81298	75651	85439	97117	135710	218091	167969	169531	242633	178982	163663	205068	124695	165018	220129	292426	136431	273373	249239	301190	286122	335695	176043	138597	71509	105058	91205	6433825
ko00350	43678	43194	43647	41383	29252	42861	44190	31459	33167	43431	46363	39706	41669	37145	36450	47874	49173	53270	41581	39329	44101	40785	45966	45490	60823	129112	97445	104984	139278	104847	92646	116034	80398	101433	136182	174158	86350	164795	144178	189332	166200	185006	110957	89385	34623	54902	40987	3609219
ko00360	56477	58737	53385	62591	36643	57992	59758	40935	43829	54038	53757	49208	49692	46262	43924	65723	59610	65855	47811	47370	53284	47668	52941	56008	83398	160969	106860	115613	168349	114607	112933	133681	88130	115946	155936	213600	96887	184604	167067	212703	197109	208752	124096	95111	45542	66436	55066	4286893
ko00361	2665	2628	2825	3365	2247	2901	2848	2405	2247	2840	3035	2087	2624	2203	2162	3365	2975	3179	2938	2678	2546	2843	3619	3585	6477	6382	7543	10134	7688	7862	6206	9964	5144	5529	7723	10883	5703	13968	7385	10594	11040	18607	7042	5878	2458	3507	3333	247860
ko00362	25922	22065	22021	22326	16920	23633	26535	19497	21509	19049	20820	17515	17873	15871	16787	19047	21335	24494	17468	16724	19054	17741	19780	20232	30542	59533	52014	49558	64921	43348	44353	55431	36648	43139	60667	79267	37393	80679	62724	80849	79109	83669	50589	35203	15234	24248	18379	1671715
ko00363	2	24	1	10	5	6	5	8	5	57	1	2	1	6	2	3	2	4	9	6	3	1	8	5	0	12	0	0	1	5	0	0	0	0	3	15	7	0	0	0	4	4	0	5	3	3	3	241
ko00364	170	308	110	361	154	112	220	210	155	228	75	101	141	75	78	400	105	122	64	117	63	61	63	80	220	573	172	527	425	292	273	400	174	288	324	903	98	946	302	894	409	726	192	298	111	141	139	12400
ko00365	111	29	53	108	50	100	31	38	49	49	32	61	60	55	36	121	20	70	42	49	71	32	63	45	163	185	43	450	179	199	189	607	158	139	173	333	72	493	125	924	321	1466	73	215	50	55	53	8040
ko00380	15945	10844	13427	16986	10792	13390	13964	11535	15276	9614	13199	10875	11489	9628	10809	14749	12337	12480	10521	8700	10998	11025	12229	15717	21501	24849	26979	26989	34958	18918	20618	27957	16885	19373	25749	39197	17468	39012	32000	39127	38602	62453	23195	16777	9147	13960	13755	905998
ko00400	179127	180253	164551	195092	120291	180241	201013	148148	150538	159280	163482	147621	152581	137573	136600	179676	184658	192766	138054	139446	154560	141693	156715	166293	245251	459307	350510	331597	486957	355092	329920	409136	264912	342755	464442	604512	281813	542692	489903	634242	585077	590198	367539	294620	139492	209432	162374	12812025
ko00401	37704	36744	35977	39879	24326	37371	38651	27876	29019	35249	35963	33654	33236	30519	29755	41062	39876	42507	32474	30618	35315	32145	35864	37692	53828	104473	70371	75301	110288	80815	74507	89644	59492	77944	105844	136103	64654	121606	111658	140653	127705	133698	83351	66037	30493	44996	36405	2833342
ko00404	0	1	0	0	0	0	0	0	0	4	5	4	0	0	1	0	1	13	13	5	0	3	6	0	6	20	7	19	34	23	33	0	7	40	24	26	5	65	67	81	31	43	30	23	0	7	4	651
ko00405	12245	14780	10812	13809	8600	13232	16653	11307	10443	11434	10052	8565	9684	9161	8711	10854	12628	12877	8190	9355	10030	8601	9365	8861	14433	33383	22299	22296	35488	24434	22215	31140	20263	25084	35359	45457	19395	36950	31630	50643	46077	37484	27112	22913	9465	13119	8682	895570
ko00410	39863	32680	33039	39448	24506	33286	37787	26478	33976	29228	30834	30103	29747	25264	27618	35184	33472	36129	26067	24808	31888	27684	29281	33805	49539	86006	70408	66983	98479	60009	67493	74316	48247	66309	90145	110234	52948	98510	94660	119921	115689	124718	68033	48361	25571	36792	31706	2457252
ko00430	36935	33692	34266	42947	24314	31764	34543	27370	32286	31875	33886	33700	32746	28547	28816	43618	34833	39995	32099	28137	35768	30989	37204	38532	58050	82939	75062	76444	96541	67562	76458	75387	53471	71913	93620	116701	59954	107701	101451	116679	108447	151108	71965	58143	28599	39273	37753	2634083
ko00440	19214	16594	18137	14172	12809	18055	20437	15769	15066	17279	17317	16902	17591	14957	16270	14546	21679	21392	14222	14907	17916	16411	16741	15254	23194	68093	41419	46624	68943	48613	44571	54092	38704	50901	67470	77587	41503	74656	66743	92553	82044	64857	53073	41133	13781	21993	13823	1600007
ko00450	105032	95146	97672	111183	69694	98142	105850	79661	90672	89492	96707	89593	91192	79323	82503	103543	105857	108461	81679	78554	94234	85103	96297	101597	147040	263199	211585	218590	288618	210036	204595	237162	160143	210145	278231	349385	174067	328299	290368	364552	341375	389217	221641	172569	78651	120482	94096	7591233
ko00460	106780	102307	95439	122839	68882	102702	108317	82737	87671	91204	99442	95215	97558	82737	86389	125149	110577	114953	89047	84251	102235	90929	101774	106981	155647	297572	196596	221558	305423	220618	215663	259858	164587	226530	286832	362542	182791	349751	313415	397250	344872	383475	228293	184601	85740	118470	103747	7961946
ko00471	52598	46927	49983	59230	35777	48850	50622	40721	45839	47507	51034	47689	48745	43235	44113	61820	55325	59679	45946	43468	50687	45471	53876	57413	85364	126228	114148	111388	141169	103340	107742	115427	78744	104442	135048	171359	87538	161977	148044	171241	166752	206818	108754	84682	44170	63598	55826	3880354
ko00472	1231	1424	1236	1359	1416	1511	1428	1296	1361	2294	1589	1531	1960	2118	1852	2343	2310	2239	2112	2198	2262	1908	2462	2566	4226	3668	5067	6209	5194	4697	5686	4532	3286	4916	6819	7444	5246	7065	6187	6200	8754	8168	5857	3459	2031	2575	2130	163422
ko00473	46846	40645	40729	47926	30637	42551	46067	34450	40123	38033	40709	38478	38626	33802	35279	44371	45012	47257	35384	35855	41624	36541	42254	44919	61876	108848	91505	89391	120833	89682	85222	98654	66636	88660	111897	145940	73302	134937	122376	152615	140686	158280	90395	72537	33904	49514	41231	3197039
ko00480	34396	31939	32871	38458	23992	29941	33973	26838	31058	36622	34570	35967	35363	30768	30451	45042	40583	42377	31176	30993	36543	31130	34664	39111	61055	92986	94403	81128	112086	75238	75590	95721	60357	75608	104863	137076	61848	131903	105610	146470	131886	175556	80252	66075	33031	45771	40281	2903620
ko00500	353170	322737	353049	375070	243189	349791	372523	296298	326631	341775	382338	321957	354070	303814	322553	414353	434952	425539	318825	312602	365171	340125	392370	422788	629540	1085165	875417	885294	1127200	914327	802642	1007196	624019	810667	1041157	1308658	676280	1429468	1136856	1455542	1354606	1645575	867803	731373	326262	433829	387105	30001671
ko00510	6588	5627	5454	7488	4169	4994	6528	4639	6749	4914	5338	6280	5275	4797	4870	6106	5854	6901	4754	4539	5747	4679	5069	5693	8019	15771	11219	10438	17262	10784	11370	11405	8747	12810	16643	19331	10291	15004	16475	19959	18611	17927	12099	9263	4146	7510	5569	423705
ko00511	200358	200347	190175	247251	119244	183646	194353	143130	173751	173240	185411	177140	170280	149371	156824	264049	187241	219778	162727	157148	199342	157382	177331	195155	303988	490126	310128	317916	542556	281744	382470	385585	252072	383057	452814	620621	285717	467827	509757	616505	589503	661254	349779	274387	165941	208829	218936	13456186
ko00513	47215	49793	39689	75375	27858	44053	44361	31605	43582	35911	37923	37905	35482	32481	32983	77950	34653	47058	35413	30750	42464	31447	37034	49978	82528	63489	53887	40098	85276	25944	66252	52136	26337	53532	50421	113713	34505	49298	79243	72608	87325	158804	41044	29309	41330	41844	62773	2414659
ko00514	2524	2671	3361	3432	2016	2512	2478	1967	2207	1989	4107	1782	1954	1687	1736	2567	2186	2905	3088	2761	2430	2154	3328	3506	4530	2861	4146	4687	4561	3224	2993	4073	2008	2934	2988	6836	2959	4846	7754	4098	5306	7156	3110	2762	1625	2690	2876	152371
ko00515	2534	2716	3375	3465	2041	2529	2496	1985	2241	2050	4164	1818	2000	1708	1786	2641	2231	2976	3138	2799	2490	2220	3376	3585	4601	2955	4181	4766	4709	3279	3043	4255	2077	3033	3151	6932	3007	5021	7951	4402	5528	7655	3181	2832	1673	2744	2973	156313
ko00520	360298	340319	345415	424075	246285	352624	370048	285154	325809	342270	371586	334148	344424	305196	315882	450737	407761	419611	314171	313404	361364	325632	375895	427883	648226	912673	859906	763054	1048637	799703	752808	863596	557223	737626	934447	1285321	606951	1207466	1037207	1264212	1237793	1578786	769971	613667	326643	445659	413229	28124795
ko00521	82692	83306	80062	107214	56854	83075	86244	65796	76073	77760	81473	72521	75365	67764	68654	107594	87649	98687	72256	69704	79878	69328	80415	90132	147680	210626	196916	166789	232228	169528	179672	198161	119258	166082	207810	284426	137802	256902	229358	278850	274961	326035	166463	140199	72253	93109	91410	6267014
ko00523	33371	39247	31552	49811	23111	36142	37975	27195	27061	35830	31802	32067	32197	29990	28107	50104	38237	44479	29987	28854	33212	28282	32256	34621	62881	99674	82465	74340	102318	73681	81222	92277	54374	74167	98846	134677	63904	113304	97814	127222	125093	139276	73413	66519	32473	39561	38669	2763660
ko00524	21370	16638	20181	22976	13758	17716	18900	15223	21609	15830	19785	15881	16088	13804	15940	21652	18092	21483	15941	15547	18298	15666	18413	21989	34819	44885	47113	34595	51247	33609	37489	40237	23792	33925	40870	56099	26497	52978	51208	56213	60355	74242	35357	26807	14510	18971	20082	1348680
ko00525	17062	21293	17103	25075	12481	19749	20890	15041	13744	19363	17152	16796	17808	16462	15347	26987	21495	24509	16574	15707	17778	15438	17571	18118	33280	53080	43781	40218	55384	41088	43426	49611	30128	40249	53850	73575	35173	60974	53597	70466	67739	74186	39825	37205	18024	23212	21073	1498687
ko00531	82897	78176	70290	108661	49386	75160	78071	58628	72615	66040	67328	70165	66426	58362	61150	123737	69583	84430	64616	54969	75169	61546	69513	85829	137659	138316	117207	102313	174401	81931	133485	125429	71064	119492	133904	208774	86178	139375	172095	175469	182947	289223	103421	77711	73280	75092	101971	4773484
ko00532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	2	7	1	6	1	0	0	10	0	0	1	6	1	35	1	1	1	0	0	0	79
ko00534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	2	7	1	6	1	0	0	10	0	0	1	6	1	35	1	1	1	0	0	0	79
ko00540	97116	78157	85852	75529	58038	74458	84892	65295	84748	81682	80577	99479	82738	71689	76202	75111	91360	99451	68550	70697	89728	75149	76846	77749	118762	268580	213313	170715	312556	193021	199588	201635	160361	214299	302372	327976	171580	284240	276253	354309	344351	234394	218816	148695	65553	114266	74615	6891343
ko00550	280852	246272	262931	299353	198317	260197	273393	222174	250533	258039	273201	250303	264654	235418	239846	307341	307138	311296	245114	226684	270126	251848	298705	310743	465490	677871	637243	660575	761582	604694	632025	625409	456061	601473	764393	931899	508141	935550	821377	939855	923572	1175125	630542	480625	231819	333664	286265	21429728
ko00561	80586	70258	76696	89750	58043	78434	81783	64480	69759	75632	86740	68630	78958	67755	70867	98130	95373	95385	72027	67271	78267	76591	89906	105887	145412	198095	209527	212607	231077	188443	168231	211783	129813	157029	220291	281475	139734	307048	247357	308849	293640	441507	184093	151290	72671	98216	92779	6588175
ko00562	32836	32373	35764	39230	23690	31795	34401	27553	30723	34388	39729	29345	33058	28915	31561	41236	39997	41244	32045	33998	36177	30501	36844	39188	55892	94584	80432	75415	104190	75494	74602	84048	58163	72051	97719	131805	62714	120270	104515	128836	127022	138032	81425	63809	28374	46918	36216	2759117
ko00563	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	3	2	1	0	1	3	3	7	6	47	19	16	32	10	11	34	16	21	13	22	14	45	36	68	42	84	23	7	0	5	0	594
ko00564	127634	109473	117736	128081	85939	113578	122765	97652	117395	109624	126539	116898	115446	98821	104484	130745	131447	144261	109403	99548	122679	108891	128379	135359	190938	326972	288901	272258	369871	264619	275061	285278	205430	263086	357246	424091	224248	426432	382843	448584	424472	499028	280502	216921	96601	145635	127634	9599428
ko00565	1927	726	1067	1191	904	788	1039	871	1240	700	1619	2244	1563	1087	1264	1553	1201	2136	1316	673	1427	1346	1894	2065	1505	1846	6031	1751	3379	2336	2011	1809	1333	1813	3628	3211	1860	3535	7071	3219	2143	5414	2204	1507	1050	2650	2616	95763
ko00590	1247	445	402	693	659	426	835	674	911	506	573	1780	1138	785	877	818	931	866	787	412	955	845	878	1001	1075	1303	1998	1424	1731	1858	1355	1439	861	1416	2645	2047	967	2467	2829	2491	1200	3935	1148	1132	680	2032	1136	58613
ko00591	1225	427	347	662	612	414	810	647	884	437	483	1727	1013	747	808	701	845	777	744	324	900	762	811	898	940	1232	1836	1278	1503	1753	1184	1279	757	1310	2492	1751	889	2217	2464	2164	799	3427	1063	1066	614	1937	1043	53003
ko00592	1717	798	680	1109	883	722	1082	922	1143	728	780	1941	1208	897	944	1037	993	1181	1035	627	1130	1098	1162	1158	1204	1645	2267	1895	2332	2170	1623	1944	1271	1634	2947	4013	1165	3194	3174	3089	1798	4539	1533	1342	787	2285	1332	74158
ko00600	123188	119034	110174	138810	71584	111846	119176	86894	94944	108120	110681	111449	108226	92232	97446	150939	123041	136265	100548	93940	121225	101428	111993	120414	183593	321861	206728	228722	348046	210372	248235	270517	173270	250030	320514	389038	194717	349360	345643	434267	388344	443692	237203	195872	103539	129131	128158	8764449
ko00603	64550	67610	56880	95859	39704	62185	63488	45779	56445	54451	58591	52927	54579	48285	49427	101335	58711	71023	52181	47099	60871	49666	56962	73912	115365	118768	96945	93279	149842	73794	107815	108365	60016	93883	112628	186342	71106	125384	146614	161086	168422	257105	88262	72294	59704	63367	84073	4056979
ko00604	46417	49280	39476	75072	27348	43740	43796	31228	42695	35507	37320	36455	34687	31666	32262	77526	33975	46369	34919	30350	41955	30927	36409	49154	81706	62952	52315	39839	84747	24586	65988	51674	25719	52949	49053	111692	34233	47871	78683	71763	87111	156430	40455	28579	41106	39594	61890	2379468
ko00620	330331	310805	322978	369592	220109	312535	326899	251375	293330	301194	326703	298717	301446	268017	272722	367017	343081	375631	282759	271742	316567	283266	328707	351949	513800	849219	729628	695821	934918	678676	694560	742775	513450	679158	879211	1140073	565869	1067723	954352	1152979	1088920	1319700	713071	549761	261060	389640	332774	24874610
ko00621	1932	1812	1915	2624	1314	1848	1867	1429	1409	2340	2645	1702	1685	1828	1628	2964	2487	4452	2547	2624	2070	2195	2266	2714	3858	6298	8166	7014	5884	4376	4747	7743	3412	3883	5473	7938	3179	12154	5933	7496	7369	14106	4777	3384	1849	2448	2224	186008
ko00622	2039	2059	2177	2858	1396	1944	2135	1495	1435	2763	2842	1795	1881	1970	1689	3231	2784	4671	2516	2175	2045	2466	2421	2943	4031	6279	9191	7511	6161	4726	4865	8325	3845	4318	5876	8170	3534	12877	6351	8202	7855	14921	5436	3672	1960	2781	2522	199139
ko00623	274	436	227	580	253	231	436	307	243	410	343	166	306	196	186	618	350	330	202	285	244	204	274	323	439	878	974	1882	1033	979	513	1900	494	668	740	1704	533	2171	737	2381	1191	2876	837	1490	239	335	395	32813
ko00624	186	269	151	250	91	103	202	191	238	165	270	108	72	53	113	198	113	196	228	681	370	64	146	80	245	230	149	358	202	113	157	272	132	141	239	400	69	643	148	495	154	531	97	207	94	188	232	10034
ko00625	20891	18758	22049	19300	15693	20384	20543	15443	17650	20618	24909	17634	21505	18428	18825	22381	24750	26474	21690	20261	21279	21242	23889	24480	31330	60425	56094	60888	68681	55011	46290	63055	42164	49874	68233	81690	45762	86370	74075	96914	88078	107931	57358	49033	16187	26834	19687	1851040
ko00626	11886	12491	14207	9180	8962	11962	12465	8774	9212	14209	17070	11473	14065	11962	12164	12646	16647	18230	14396	14775	14636	13855	15587	13868	16285	44393	38174	39660	47210	39835	31516	40161	30954	36254	49367	57542	32963	58721	52292	70191	60185	63568	41518	35187	9682	18138	10897	1239415
ko00627	12562	12481	10798	14231	7660	11341	12547	9522	8845	11602	10577	11098	10494	9232	8843	11934	12320	13913	9541	9318	10838	9954	10978	10012	14234	36965	22408	26028	36578	23813	24915	32430	21187	27435	36579	45875	22477	48708	35178	50611	41929	42794	29003	21628	9235	14508	10259	935418
ko00630	238541	226941	222673	249461	154723	224867	246887	188093	208408	209409	217707	205890	204304	181516	187481	240384	241921	256503	186229	187596	219779	190694	207466	220947	319852	635836	461998	448237	691857	450340	451701	522855	358816	476442	638023	818263	386348	718796	668521	851477	800400	796631	494257	379503	180365	264583	215408	17148929
ko00633	8477	7321	6419	9916	6462	7178	7457	6464	7153	10888	7775	9847	9783	9370	8443	11170	11124	11329	8478	7054	8407	8816	10095	11746	16535	11452	30101	22502	23430	18446	18149	16836	12570	16624	25232	23816	13261	27495	25575	25915	29973	35154	19385	9643	8613	12862	10801	665542
ko00640	134960	129664	137985	147798	93048	128273	134794	104308	120195	138339	142876	131924	135287	120791	122022	152457	155867	166469	123302	122806	141538	127392	146923	153602	217272	380479	319199	323796	423214	314343	315622	335910	235029	311582	411226	527989	260303	476710	428121	546482	510413	584802	324861	257374	114908	172258	139031	11143544
ko00642	510	398	475	521	287	313	314	299	267	390	403	245	225	156	157	406	204	462	337	311	243	475	418	309	264	488	511	790	973	472	472	979	641	371	456	2369	279	1047	749	983	1030	1145	513	286	201	469	369	23982
ko00643	4056	3222	3729	4269	2545	3347	3787	2842	3051	3250	3400	3292	2837	2449	2681	3455	3405	3468	2931	2379	2741	3074	3420	3372	5069	6706	6706	7755	8478	5334	4606	8074	5270	4903	6830	14286	4612	9230	7486	10353	9343	15417	5974	4753	2337	4803	3350	238677
ko00650	175930	162277	174377	191219	114145	163569	172211	130906	151658	157617	169794	157191	157457	140732	144042	187603	180523	199404	148791	143254	169342	148511	170338	177641	268461	461111	376598	358338	502998	350211	364786	383139	267688	361933	472714	618662	297752	547885	507506	610377	580917	655979	381255	287124	138613	203336	171380	13057295
ko00660	62086	63588	55901	71642	40456	61151	68090	49417	47207	56310	57298	51747	52418	45962	47541	63621	64908	66974	49475	52499	55149	50319	54058	56817	85492	160590	122225	120598	172624	122847	118452	146344	94216	119723	170802	210439	101760	195588	173809	229660	208129	215682	131779	106463	48012	70696	55084	4525648
